iter	Passed	Remaining
355	32701	6397446
356	32793	6397257
357	32903	6400674
358	33002	6401982
359	33111	6405139
360	33215	6407391
361	33306	6407160
362	33397	6406845
363	33490	6407013
364	33582	6406908
365	33691	6410105
366	33783	6409855
367	33890	6412584
368	33985	6413054
369	34077	6413031
370	34170	6413158
371	34275	6415422
372	34384	6418403
373	34487	6420429
374	34580	6420455
375	34684	6422605
376	34776	6422442
377	34870	6422683
378	34978	6425368
379	35067	6424743
380	35168	6426255
381	35260	6426159
382	35351	6425773
383	35443	6425598
384	35538	6425923
385	35647	6428981
386	35739	6428735
387	35829	6428303
388	35922	6428200
389	36012	6427838
390	36105	6427791
391	36196	6427507
392	36290	6427639
393	36381	6427319
394	36473	6427175
395	36582	6430096
396	36677	6430426
397	36770	6430416
398	36875	6432504
399	36976	6433954
400	37070	6434056
401	37162	6433886
402	37267	6435922
403	37359	6435882
404	37452	6435893
405	37542	6435265
406	37630	6434489
407	37720	6433939
408	37808	6433140
409	37901	6433163
410	38007	6435283
411	38115	6437762
412	38202	6436844
413	38297	6437074
414	38385	6436318
415	38472	6435216
416	38582	6438073
417	38682	6439313
418	38790	6441729
419	38894	6443589
420	38998	6445277
421	39091	6445210
422	39185	6445364
423	39293	6447789
424	39397	6449541
425	39491	6449646
426	39583	6449551
427	39675	6449229
428	39784	6451893
429	39876	6451684
430	39967	6451308
431	40059	6451095
432	40151	6450904
433	40257	6452952
434	40349	6452632
435	40441	6452523
436	40537	6452868
437	40638	6454053
438	40731	6454084
439	40841	6456678
440	40935	6456795
441	41043	6458984
442	41151	6461403
443	41243	6461033
444	41346	6462585
445	41435	6461846
446	41528	6461860
447	41622	6461832
448	41715	6461791
449	41824	6464254
450	41928	6465831
451	42028	6466873
452	42123	6467004
453	42222	6467778
454	42324	6469137
455	42428	6470699
456	42532	6472353
457	42625	6472181
458	42720	6472434
459	42814	6472387
460	42922	6474654
461	43016	6474633
462	43106	6474054
463	43201	6474210
464	43296	6474509
465	43392	6474785
466	43485	6474676
467	43587	6475862
468	43697	6478265
469	43800	6479649
470	43896	6479949
471	43997	6481089
472	44093	6481333
473	44201	6483466
474	44311	6485755
475	44420	6487976
476	44516	6488295
477	44617	6489395
478	44718	6490371
479	44810	6490078
480	44911	6491113
481	45005	6491075
482	45094	6490401
483	45198	6491791
484	45294	6491994
485	45386	6491810
486	45494	6493763
487	45588	6493722
488	45693	6495331
489	45794	6496292
490	45902	6498214
491	46004	6499286
492	46108	6500711
493	46210	6501810
494	46308	6502304
495	46417	6504480
496	46526	6506548
497	46631	6507944
498	46733	6509108
499	46835	6510197
500	46937	6511222
501	47042	6512692
502	47135	6512545
503	47237	6513591
504	47343	6515181
505	47438	6515247
506	47542	6516570
507	47650	6518362
508	47759	6520336
509	47866	6522062
510	47967	6522905
511	48060	6522723
512	48161	6523549
513	48262	6524485
514	48364	6525436
515	48459	6525456
516	48549	6524890
517	48652	6526072
518	48755	6527173
519	48850	6527122
520	48950	6527869
521	49044	6527859
522	49134	6527224
523	49242	6529007
524	49344	6529943
525	49451	6531570
526	49558	6533155
527	49666	6534843
528	49765	6535491
529	49855	6534788
530	49963	6536615
531	50055	6536155
532	50158	6537274
533	50258	6537998
534	50361	6539013
535	50458	6539265
536	50564	6540710
537	50673	6542580
538	50783	6544527
539	50890	6546016
540	50990	6546703
541	51091	6547476
542	51185	6547290
543	51277	6546918
544	51372	6546950
545	51474	6547863
546	51576	6548729
547	51684	6550340
548	51777	6550027
549	51880	6551063
550	51979	6551578
551	52083	6552660
552	52179	6552867
553	52283	6553983
554	52389	6555255
555	52492	6556245
556	52590	6556649
557	52695	6557869
558	52804	6559516
559	52908	6560597
560	53004	6560774
561	53113	6562480
562	53220	6563894
563	53317	6564146
564	53424	6565484
565	53517	6565211
566	53615	6565607
567	53721	6566939
568	53821	6567477
569	53913	6567059
570	54009	6567116
571	54118	6568716
572	54211	6568490
573	54320	6570179
574	54413	6569866
575	54508	6569741
576	54598	6569101
577	54692	6568992
578	54789	6569199
579	54898	6570775
580	55003	6571876
581	55099	6571938
582	55195	6572083
583	55289	6571858
584	55400	6573683
585	55492	6573311
586	55581	6572510
587	55684	6573394
588	55775	6572903
589	55879	6573868
590	55986	6575203
591	56091	6576353
592	56197	6577624
593	56301	6578560
594	56394	6578256
595	56494	6578717
596	56590	6578839
597	56683	6578531
598	56772	6577751
599	56864	6577381
600	56957	6577021
601	57065	6578479
602	57163	6578714
603	57251	6577884
604	57337	6576767
605	57446	6578249
606	57545	6578721
607	57641	6578688
608	57740	6579070
609	57833	6578743
610	57927	6578596
611	58031	6579601
612	58122	6579025
613	58212	6578337
614	58320	6579750
615	58413	6579431
616	58514	6580135
617	58615	6580731
618	58715	6581179
619	58816	6581706
620	58916	6582252
621	59011	6582190
622	59101	6581480
623	59198	6581624
624	59298	6582103
625	59393	6582031
626	59494	6582661
627	59589	6582577
628	59699	6584175
629	59805	6585296
630	59911	6586393
631	60004	6586059
632	60105	6586659
633	60208	6587418
634	60310	6588040
635	60412	6588713
636	60516	6589609
637	60609	6589363
638	60706	6589493
639	60811	6590483
640	60914	6591244
641	61023	6592660
642	61109	6591528
643	61212	6592274
644	61307	6592198
645	61412	6593240
646	61504	6592755
647	61600	6592811
648	61707	6593960
649	61795	6593148
650	61883	6592228
651	61977	6592100
652	62079	6592740
653	62171	6592273
654	62266	6592153
655	62373	6593376
656	62475	6593967
657	62582	6595090
658	62679	6595247
659	62784	6596144
660	62892	6597421
661	62984	6597044
662	63076	6596560
663	63184	6597808
664	63292	6599118
665	63387	6598963
666	63476	6598249
667	63576	6598610
668	63678	6599235
669	63768	6598614
670	63865	6598695
671	63966	6599173
672	64069	6599969
673	64178	6601246
674	64281	6601956
675	64384	6602633
676	64480	6602634
677	64581	6603134
678	64677	6603102
679	64786	6604361
680	64878	6604005
681	64984	6605006
682	65080	6605002
683	65186	6605933
684	65290	6606721
685	65387	6606840
686	65480	6606520
687	65584	6607264
688	65679	6607125
689	65775	6607060
690	65877	6607638
691	65966	6606907
692	66071	6607831
693	66175	6608582
694	66276	6609097
695	66383	6610132
696	66474	6609615
697	66581	6610601
698	66684	6611314
699	66785	6611750
700	66880	6611678
701	66974	6611434
702	67082	6612560
703	67176	6612314
704	67277	6612778
705	67365	6611953
706	67466	6612364
707	67563	6612487
708	67661	6612585
709	67755	6612393
710	67865	6613678
711	67960	6613528
712	68055	6613403
713	68150	6613313
714	68253	6613902
715	68342	6613206
716	68434	6612787
717	68532	6612933
718	68639	6613909
719	68735	6613893
720	68826	6613394
721	68935	6614595
722	69032	6614588
723	69136	6615294
724	69225	6614604
725	69315	6613960
726	69417	6614485
727	69512	6614369
728	69615	6615017
729	69704	6614263
730	69805	6614752
731	69911	6615580
732	70007	6615540
733	70111	6616317
734	70208	6616291
735	70308	6616674
736	70417	6617794
737	70505	6617030
738	70594	6616259
739	70698	6616998
740	70794	6616943
741	70897	6617566
742	70993	6617494
743	71100	6618476
744	71202	6618968
745	71298	6618867
746	71396	6619030
747	71499	6619626
748	71593	6619390
749	71696	6620005
750	71791	6619784
751	71889	6619949
752	71987	6620036
753	72076	6619350
754	72172	6619328
755	72269	6619354
756	72365	6619276
757	72473	6620293
758	72584	6621642
759	72681	6621663
760	72776	6621558
761	72886	6622763
762	72979	6622357
763	73089	6623626
764	73199	6624807
765	73302	6625361
766	73404	6625801
767	73500	6625758
768	73593	6625453
769	73692	6625588
770	73787	6625503
771	73883	6625392
772	73991	6626417
773	74086	6626274
774	74197	6627494
775	74296	6627678
776	74390	6627500
777	74484	6627171
778	74577	6626851
779	74684	6627799
780	74773	6627075
781	74880	6627941
782	74982	6628419
783	75085	6629007
784	75193	6629987
785	75289	6629895
786	75377	6629072
787	75469	6628669
788	75573	6629292
789	75677	6629899
790	75773	6629844
791	75871	6629911
792	75977	6630736
793	76076	6630948
794	76182	6631734
795	76293	6632934
796	76391	6632985
797	76488	6633029
798	76585	6633071
799	76685	6633337
800	76784	6633498
801	76877	6633136
802	76968	6632628
803	77080	6633914
804	77171	6633423
805	77276	6634105
806	77377	6634419
807	77482	6635071
808	77589	6635941
809	77688	6636111
810	77788	6636384
811	77901	6637784
812	78010	6638767
813	78102	6638326
814	78200	6638426
815	78308	6639318
816	78406	6639372
817	78514	6640345
818	78615	6640664
819	78723	6641579
820	78819	6641517
821	78925	6642183
822	79017	6641753
823	79111	6641519
824	79218	6642315
825	79310	6641934
826	79415	6642544
827	79512	6642544
828	79606	6642281
829	79719	6643626
830	79819	6643856
831	79916	6643821
832	80013	6643814
833	80121	6644685
834	80225	6645276
835	80322	6645260
836	80425	6645735
837	80524	6645844
838	80634	6646877
839	80731	6646891
840	80822	6646395
841	80921	6646510
842	81019	6646590
843	81126	6647335
844	81237	6648475
845	81336	6648598
846	81427	6648104
847	81534	6648878
848	81629	6648723
849	81722	6648399
850	81817	6648208
851	81920	6648672
852	82023	6649127
853	82133	6650121
854	82239	6650858
855	82328	6650131
856	82420	6649706
857	82518	6649782
858	82624	6650450
859	82729	6651102
860	82822	6650686
861	82917	6650512
862	83007	6649945
863	83101	6649620
864	83198	6649643
865	83302	6650132
866	83409	6650915
867	83513	6651464
868	83610	6651393
869	83706	6651283
870	83805	6651393
871	83913	6652252
872	84010	6652208
873	84106	6652074
874	84195	6651428
875	84294	6651580
876	84396	6651942
877	84501	6652484
878	84593	6652084
879	84698	6652646
880	84795	6652638
881	84892	6652632
882	84992	6652802
883	85081	6652171
884	85192	6653159
885	85278	6652315
886	85368	6651722
887	85464	6651629
888	85563	6651719
889	85658	6651562
890	85758	6651717
891	85853	6651514
892	85956	6651935
893	86047	6651455
894	86148	6651705
895	86252	6652259
896	86362	6653191
897	86460	6653235
898	86560	6653393
899	86664	6653926
900	86753	6653273
901	86845	6652832
902	86934	6652171
903	87025	6651664
904	87116	6651202
905	87218	6651515
906	87313	6651362
907	87405	6650893
908	87510	6651460
909	87605	6651310
910	87703	6651289
911	87797	6651079
912	87893	6650899
913	87999	6651543
914	88096	6651554
915	88193	6651470
916	88286	6651137
917	88388	6651485
918	88495	6652198
919	88612	6653617
920	88712	6653854
921	88806	6653574
922	88912	6654210
923	89006	6653883
924	89110	6654423
925	89215	6654941
926	89318	6655306
927	89424	6655925
928	89530	6656546
929	89627	6656495
930	89731	6657016
931	89833	6657339
932	89925	6656869
933	90030	6657457
934	90135	6658001
935	90241	6658597
936	90335	6658303
937	90429	6658045
938	90532	6658400
939	90637	6658932
940	90734	6658918
941	90833	6659017
942	90937	6659488
943	91036	6659566
944	91126	6658951
945	91228	6659262
946	91330	6659610
947	91419	6658999
948	91524	6659523
949	91619	6659267
950	91715	6659192
951	91812	6659093
952	91913	6659334
953	92009	6659202
954	92093	6658237
955	92182	6657556
956	92281	6657695
957	92378	6657620
958	92489	6658580
959	92587	6658581
960	92692	6659071
961	92796	6659512
962	92900	6659968
963	93002	6660296
964	93109	6660947
965	93200	6660462
966	93307	6661084
967	93400	6660773
968	93504	6661224
969	93613	6662027
