iter	RMSE
274	1.708879838
275	1.707820141
276	1.707187034
277	1.706403074
278	1.705441818
279	1.704913136
280	1.704287313
281	1.703302655
282	1.702390058
283	1.701827337
284	1.701151676
285	1.700341774
286	1.699585965
287	1.698793678
288	1.697866853
289	1.697343213
290	1.696757855
291	1.695928544
292	1.695376665
293	1.694701347
294	1.693916775
295	1.693044054
296	1.692432858
297	1.691578647
298	1.690901478
299	1.690197232
300	1.689749402
301	1.688938878
302	1.688417234
303	1.687956138
304	1.687393036
305	1.686930069
306	1.686068801
307	1.685658726
308	1.684856958
309	1.684310167
310	1.683880301
311	1.683312063
312	1.682617139
313	1.681828356
314	1.681313488
315	1.680559536
316	1.679784492
317	1.678969915
318	1.678518164
319	1.677961063
320	1.677216544
321	1.676500067
322	1.675820764
323	1.675094759
324	1.674360346
325	1.673954907
326	1.673481307
327	1.672992049
328	1.672275703
329	1.671670845
330	1.671202678
331	1.670514293
332	1.669750224
333	1.669087285
334	1.668617548
335	1.667924288
336	1.667244031
337	1.66671729
338	1.666125662
339	1.665701611
340	1.665016715
341	1.664427706
342	1.664073453
343	1.663702328
344	1.663268154
345	1.662839894
346	1.66227202
347	1.661622832
348	1.661230682
349	1.660756343
350	1.660328965
351	1.659726641
352	1.659109126
353	1.658689067
354	1.658289584
355	1.657850332
356	1.657524479
357	1.656960661
358	1.65638421
359	1.65605713
360	1.65566281
361	1.655389475
362	1.654819897
363	1.654519551
364	1.654225636
365	1.65386348
366	1.653413235
367	1.653059696
368	1.652510754
369	1.652057406
370	1.65170691
371	1.651222911
372	1.650690887
373	1.650159291
374	1.64968271
375	1.649341379
376	1.648962657
377	1.648678452
378	1.64817284
379	1.647902375
380	1.647358997
381	1.64704855
382	1.6467605
383	1.646274876
384	1.645835762
385	1.645468414
386	1.645103473
387	1.644565092
388	1.644293947
389	1.64377445
390	1.643475005
391	1.643078095
392	1.64261527
393	1.642182655
394	1.641709862
395	1.641390263
396	1.641007901
397	1.640672594
398	1.640272596
399	1.639810701
400	1.639501062
401	1.639091048
402	1.638806681
403	1.638435863
404	1.638141818
405	1.637654242
406	1.637211522
407	1.636840515
408	1.636380583
409	1.635897572
410	1.6355947
411	1.635171708
412	1.634929653
413	1.634580838
414	1.634204569
415	1.633575678
416	1.63320203
417	1.632838064
418	1.632476351
419	1.632134968
420	1.631689626
421	1.631250133
422	1.630717133
423	1.630401006
424	1.630095901
425	1.629843653
426	1.629504057
427	1.628912777
428	1.628519511
429	1.628219255
430	1.627861285
431	1.627360827
432	1.627022274
433	1.626809634
434	1.626576921
435	1.626255997
436	1.625907318
437	1.625396098
438	1.625111159
439	1.624756935
440	1.624480485
441	1.623927967
442	1.623630078
443	1.623418298
444	1.623104489
445	1.622820191
446	1.622361765
447	1.621961168
448	1.621591023
449	1.621305067
450	1.621049449
451	1.620758694
452	1.62046423
453	1.620065951
454	1.619767613
455	1.619352079
456	1.619105306
457	1.618828502
458	1.61857162
459	1.618328477
460	1.617900448
461	1.617628062
462	1.617268533
463	1.616892076
464	1.616673215
465	1.616206758
466	1.615937406
467	1.615673687
468	1.615432206
469	1.615203796
470	1.614985754
471	1.614741984
472	1.614401222
473	1.614044647
474	1.613536318
475	1.613332136
476	1.612857712
477	1.612395054
478	1.612131806
479	1.611873244
480	1.611618932
481	1.611163364
482	1.610618897
483	1.610134118
484	1.609674623
485	1.609466181
486	1.609217716
487	1.608989038
488	1.608603712
489	1.608375122
490	1.608133335
491	1.607922586
492	1.607666595
493	1.607446389
494	1.607174427
495	1.606806762
496	1.60657818
497	1.606314506
498	1.606050526
499	1.605821924
500	1.605351611
501	1.605142959
502	1.604699186
503	1.60438717
504	1.60402573
505	1.603658574
506	1.603434473
507	1.603144486
508	1.602658416
509	1.602480417
510	1.602300813
511	1.602061281
512	1.601823915
513	1.601611455
514	1.601393766
515	1.601052455
516	1.60084095
517	1.600491672
518	1.600288472
519	1.600080218
520	1.5998827
521	1.599434379
522	1.599093356
523	1.59871827
524	1.598486501
525	1.598154107
526	1.597971544
527	1.597591159
528	1.597160311
529	1.596859904
530	1.596411883
531	1.595958077
532	1.595732452
533	1.595389576
534	1.59519192
535	1.59477786
536	1.594568444
537	1.594357672
538	1.594157143
539	1.593960131
540	1.593651238
541	1.593439637
542	1.592988705
543	1.592793587
544	1.59238821
545	1.591967392
546	1.591772857
547	1.591376445
548	1.591124889
549	1.59084082
550	1.590624142
551	1.590456156
552	1.590274928
553	1.590097674
554	1.589741596
555	1.589347341
556	1.588971553
557	1.588554006
558	1.588308312
559	1.588002231
560	1.587510368
561	1.587318044
562	1.587135213
563	1.586777403
564	1.586402074
565	1.586116003
566	1.585723339
567	1.585522519
568	1.585358355
569	1.585176099
570	1.584954906
571	1.584608807
572	1.584405975
573	1.584233766
574	1.584050044
575	1.583720146
576	1.58333705
577	1.582952257
578	1.582766245
579	1.582581461
580	1.582193361
581	1.582045714
582	1.581889844
583	1.581734316
584	1.581239611
585	1.581005458
586	1.580758144
587	1.580365131
588	1.580000607
589	1.57983855
590	1.579560762
591	1.579236451
592	1.579086918
593	1.578940857
594	1.578629919
595	1.578469957
596	1.578203286
597	1.577893276
598	1.577746121
599	1.577572201
600	1.577403272
601	1.577131052
602	1.576959928
603	1.576719142
604	1.576391022
605	1.576244891
606	1.575998532
607	1.575837675
608	1.575464399
609	1.575314867
610	1.575150445
611	1.575020598
612	1.574856146
613	1.57454745
614	1.574261914
615	1.573804232
616	1.573675709
617	1.573532555
618	1.57334543
619	1.5730979
620	1.572769204
621	1.572456867
622	1.57203601
623	1.571844487
624	1.571723168
625	1.571385652
626	1.571082921
627	1.570964149
628	1.570821287
629	1.570625751
630	1.570407721
631	1.570150019
632	1.570015444
633	1.569687991
634	1.569468392
635	1.569318379
636	1.569183102
637	1.569064276
638	1.568811841
639	1.568649527
640	1.568503575
641	1.56828642
642	1.567950505
643	1.567801426
644	1.567681505
645	1.567535912
646	1.567343209
647	1.56710824
648	1.566897288
649	1.566588645
650	1.56635897
651	1.566094383
652	1.565808748
653	1.565518012
654	1.565284573
655	1.565147054
656	1.565031259
657	1.564918882
658	1.564791523
659	1.564504297
660	1.564296693
661	1.564156922
662	1.563926619
663	1.563784829
664	1.563688429
665	1.563413008
666	1.563240202
667	1.56297599
668	1.562734133
669	1.562523945
670	1.562383473
671	1.562113876
672	1.561737138
673	1.561599759
674	1.561345665
675	1.561219733
676	1.561120011
677	1.56083844
678	1.560627544
679	1.560262299
680	1.559974511
681	1.559860502
682	1.559695719
683	1.559563137
684	1.559182072
685	1.559036682
686	1.55874912
687	1.558630132
688	1.558391766
689	1.558116134
690	1.557751568
691	1.557552035
692	1.557434769
693	1.557192957
694	1.556985738
695	1.556846398
696	1.556552356
697	1.556356479
698	1.55614026
699	1.555825944
700	1.555470188
701	1.555338517
702	1.555225802
703	1.555011514
704	1.554735282
705	1.554557425
706	1.554230076
707	1.554112468
708	1.554038266
709	1.553842525
710	1.553447064
711	1.553250977
712	1.553125752
713	1.552773558
714	1.552531566
715	1.552322179
716	1.552218339
717	1.551998997
718	1.551786718
719	1.551645365
720	1.551452143
721	1.551257714
722	1.551075455
723	1.550862049
724	1.550540929
725	1.550327267
726	1.550220471
727	1.549896304
728	1.549661696
729	1.549327937
730	1.549080578
731	1.548980712
732	1.54882926
733	1.548639515
734	1.548463693
735	1.548327233
736	1.548215649
737	1.548092843
738	1.548002578
739	1.547743972
740	1.547480307
741	1.547180745
742	1.546883497
743	1.546796629
744	1.546690137
745	1.546499034
746	1.546244011
747	1.546038611
748	1.545871167
749	1.545779768
750	1.545484899
751	1.545275471
752	1.545191435
753	1.544858447
754	1.544675707
755	1.544564225
756	1.544456847
757	1.54422059
758	1.544114742
759	1.543892512
760	1.543675553
761	1.543528884
762	1.543362448
763	1.543265413
764	1.54298095
765	1.542874743
766	1.542673469
767	1.542382673
768	1.54219543
769	1.541930541
770	1.541796249
771	1.541679431
772	1.541525065
773	1.541349622
774	1.541210883
775	1.54105244
776	1.540956176
777	1.540838653
778	1.540709946
779	1.540551726
780	1.540436922
781	1.540163666
782	1.540046083
783	1.539921434
784	1.539830507
785	1.539691173
786	1.539426037
787	1.53929281
788	1.539078503
789	1.538998074
790	1.538858664
791	1.538683238
792	1.538509076
793	1.538249012
794	1.538128301
795	1.53798739
796	1.537840042
797	1.537725218
798	1.537507986
799	1.537295083
800	1.537184994
801	1.537079397
802	1.536920574
803	1.536767612
804	1.536583496
805	1.536474229
806	1.536359074
807	1.536129703
808	1.535977077
